date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2025-06-27,3964.0,4008.0,3941.0,3974.0,11524700,3872.82,3873.4,3861.51,3707.29,3558.48,54.78,39.09,46.74,-7.66,3923.48,3859.37,3795.27,141.13
2025-06-30,4005.0,4008.0,3949.0,3993.0,9745100,3891.33,3889.0,3864.87,3708.57,3563.62,56.28,38.43,45.08,-6.65,3926.32,3860.73,3795.15,140.7
2025-07-01,4010.0,4025.0,3952.0,4019.0,9009500,3916.67,3889.97,3867.21,3708.97,3568.51,58.32,39.5,43.96,-4.46,3933.8,3864.24,3794.69,140.2
2025-07-02,4027.0,4038.0,3977.0,3984.0,10392500,3882.56,3891.53,3867.32,3708.01,3574.0,54.63,37.17,42.61,-5.44,3934.17,3864.44,3794.7,138.85
2025-07-03,4009.0,4015.0,3954.0,3996.0,7369400,3894.26,3891.53,3866.89,3706.26,3579.6,55.67,35.85,41.25,-5.41,3935.64,3868.29,3800.93,138.39
2025-07-04,4049.0,4092.0,4025.0,4055.0,9662000,3951.76,3907.32,3868.96,3704.98,3585.67,60.45,38.99,40.8,-1.81,3949.23,3873.5,3797.77,142.63
2025-07-07,4037.0,4065.0,3944.0,3957.0,8355600,3856.25,3900.3,3868.65,3701.33,3591.66,50.67,33.39,39.32,-5.93,3941.38,3869.85,3798.31,141.09
2025-07-08,3930.0,3966.0,3907.0,3937.0,9214400,3836.76,3884.32,3868.26,3697.09,3597.58,48.93,27.07,36.87,-9.8,3941.64,3868.87,3796.1,138.85
2025-07-09,3989.0,3997.0,3921.0,3975.0,7332600,3873.79,3882.56,3868.06,3691.64,3603.98,52.28,24.76,34.45,-9.68,3942.31,3870.19,3798.06,140.38
2025-07-10,4000.0,4009.0,3970.0,4003.0,10083600,3901.08,3883.93,3871.41,3687.68,3610.23,54.64,24.85,32.53,-7.68,3944.47,3871.21,3797.95,140.01
2025-07-11,4005.0,4141.0,4004.0,4083.0,12562400,3979.04,3889.38,3876.68,3685.56,3616.96,60.64,30.86,32.2,-1.34,3959.24,3880.37,3801.5,147.14
2025-07-14,4038.0,4074.0,3990.0,4054.0,9468800,3950.78,3908.29,3877.53,3682.61,3623.85,57.66,32.95,32.35,0.61,3966.71,3886.75,3806.79,143.42
2025-07-15,4071.0,4164.0,4062.0,4078.0,9232400,3974.17,3935.77,3882.25,3679.21,3630.78,59.44,36.09,33.09,2.99,3980.03,3892.06,3804.1,148.4
2025-07-16,4078.0,4102.0,4033.0,4064.0,7226100,3960.53,3953.12,3886.77,3676.92,3637.33,57.91,37.04,33.88,3.16,3988.76,3896.65,3804.53,146.93
2025-07-17,4114.0,4133.0,4096.0,4107.0,8987400,4002.43,3973.39,3891.65,3677.65,3643.81,61.2,40.71,35.25,5.46,4005.06,3903.71,3802.37,148.76
2025-07-18,4127.0,4144.0,4105.0,4126.0,7616400,4020.95,3981.77,3900.65,3678.65,3650.47,62.6,44.6,37.12,7.48,4021.39,3912.97,3804.55,148.24
2025-07-22,4140.0,4187.0,4133.0,4182.0,7588200,4075.52,4006.72,3910.75,3680.87,3657.66,66.42,51.49,39.99,11.5,4045.94,3926.08,3806.21,149.52
2025-07-23,4300.0,4448.0,4277.0,4400.0,21485300,4287.97,4069.48,3927.55,3690.07,3665.55,76.49,73.25,46.65,26.61,4142.64,3944.88,3747.13,165.44
2025-07-24,4532.0,4590.0,4495.0,4553.0,19564900,4437.08,4164.79,3950.27,3706.65,3674.24,80.84,101.36,57.59,43.77,4261.81,3973.0,3684.19,175.2
2025-07-25,4523.0,4548.0,4498.0,4535.0,8476200,4419.53,4248.21,3972.61,3727.57,3682.27,78.99,120.83,70.24,50.59,4344.65,3999.26,3653.88,170.61
2025-07-28,4540.0,4548.0,4415.0,4418.0,8842900,4305.51,4305.12,3991.4,3741.84,3689.43,68.08,125.61,81.31,44.3,4385.56,4020.9,3656.24,167.92
2025-07-29,4402.0,4409.0,4357.0,4370.0,6287400,4258.74,4341.77,4009.21,3757.32,3696.55,64.17,124.19,89.89,34.3,4412.88,4039.27,3665.66,163.32
2025-07-30,4357.0,4392.0,4337.0,4385.0,6620300,4273.35,4338.84,4023.68,3769.74,3703.93,64.85,122.83,96.47,26.35,4439.55,4057.1,3674.66,161.17
2025-07-31,4390.0,4482.0,4388.0,4482.0,8402300,4367.88,4325.0,4043.4,3785.85,3711.55,68.95,127.9,102.76,25.14,4477.77,4081.37,3684.97,164.56
2025-08-01,4402.0,4452.0,4381.0,4452.0,12042500,4338.65,4308.83,4061.18,3800.92,3718.32,66.37,128.09,107.83,20.26,4505.33,4103.59,3701.85,158.82
